日期,人均vv对照组,人均vv实验组,日期,人均播放时长对照组,人均播放时长实验组,日期,人均曝光对照组,人均曝光实验组
2018-04-13,26.06461002612265,26.06926661761099,2018-04-13,326.6165194675955,322.43865587441746,2018-04-13,30.8028431800481,31.06405821305022
2018-04-14,26.52410366284503,26.845317096531435,2018-04-14,331.9111070590112,331.0616861645116,2018-04-14,31.266764981686155,31.469912162216165
2018-04-15,26.762563576128038,26.54729745656837,2018-04-15,345.68946852690027,341.68983805954315,2018-04-15,30.995184696569922,30.915438433609097
2018-04-16,26.215382094280876,26.426879208465028,2018-04-16,323.9670890916043,327.2216023086437,2018-04-16,30.40765793543123,30.552498548185948
2018-04-17,25.777656288439985,25.777601381461675,2018-04-17,324.26881338326547,326.12360739750443,2018-04-17,30.0836969531331,29.787599387808427
2018-04-18,26.410053051819304,25.742482502973804,2018-04-18,337.680617330261,331.6053002849318,2018-04-18,30.382005179293884,29.60977152706469
2018-04-19,25.571758894319196,26.357581237328073,2018-04-19,330.70405696568395,329.82500410981424,2018-04-19,29.99141369629017,29.922703244622674
2018-04-20,25.077827095732875,25.673562551125418,2018-04-20,323.49394734187433,313.4995118347099,2018-04-20,29.6777956694532,29.38923696576415
2018-04-21,26.103525152859635,26.87125253325258,2018-04-21,335.8285764739642,333.3911109040509,2018-04-21,31.229145728643218,30.958637259443627
2018-04-22,27.25519998242878,28.130781938325992,2018-04-22,355.0071602714753,356.15583700440527,2018-04-22,31.95356729536142,31.743369599495427
日期,人均点击对照组,人均点击实验组,日期,播放完成率对照组,播放完成率实验组,日期,vv对照组,vv实验组
2018-04-13,7.644939778734536,7.653712548849327,2018-04-13,0.2652464953081466,0.2632691156933661,2018-04-13,1047667,1062844
2018-04-14,7.915249497953685,8.03206744606607,2018-04-14,0.28117921236890864,0.27854882033037887,2018-04-14,1163692,1177194
2018-04-15,7.816062378167642,7.684958608840527,2018-04-15,0.28635329008793503,0.28603216434502793,2018-04-15,1147097,1126216
2018-04-16,7.366827233742583,7.362376061271745,2018-04-16,0.27304891389279573,0.273810192378492,2018-04-16,959850,961542
2018-04-17,7.164275743265319,7.19136010799865,2018-04-17,0.26621167647907157,0.26631111841031896,2018-04-17,943024,925519
2018-04-18,7.346713121598664,7.233727272727273,2018-04-18,0.2683447704925351,0.2684884989226975,2018-04-18,985676,930565
2018-04-19,7.288851205702296,7.487312572087658,2018-04-19,0.2729821929491066,0.27471546228218535,2018-04-19,973210,961999
2018-04-20,7.36914132133944,7.584730645736711,2018-04-20,0.2710486672177605,0.27736956948499975,2018-04-20,994386,972951
2018-04-21,7.749064755146864,8.005141186909546,2018-04-21,0.2787560630762882,0.28456442513410707,2018-04-21,1182568,1153556
2018-04-22,8.17631649161957,8.30951091860675,2018-04-22,0.2819529664711637,0.29087754842372104,2018-04-22,1240902,1226052
日期,曝光次数对照组,曝光次数实验组,日期,播放人数对照组,播放人数实验组,日期,点击人数对照组,点击人数实验组
2018-04-13,3599035,3645740,2018-04-13,40195,40770,2018-04-13,36698,36848
2018-04-14,3901123,3937421,2018-04-14,43873,43851,2018-04-14,39339,39261
2018-04-15,3759096,3729453,2018-04-15,42862,42423,2018-04-15,38475,38414
2018-04-16,3205180,3209265,2018-04-16,36614,36385,2018-04-16,34046,33686
2018-04-17,3192151,3191920,2018-04-17,36583,35904,2018-04-17,33669,32593
2018-04-18,3296721,3229597,2018-04-18,37322,36149,2018-04-18,34729,33000
2018-04-19,3300825,3283119,2018-04-19,38058,36498,2018-04-19,34793,32946
2018-04-20,3464942,3414853,2018-04-20,39652,37897,2018-04-20,36463,33636
2018-04-21,4008417,3942923,2018-04-21,45303,42929,2018-04-21,41433,38318
2018-04-22,4086350,4026329,2018-04-22,45529,43584,2018-04-22,41227,38787
日期,总播放时长对照组,总播放时长实验组
2018-04-13,13128351,13145824
2018-04-14,14561936,14517386
2018-04-15,14816942,14495508
2018-04-16,11861731,11905958
2018-04-17,11862726,11709142
2018-04-18,12602916,11987200
2018-04-19,12585935,12037953
2018-04-20,12827182,11880691
2018-04-21,15214042,14312147
2018-04-22,16163121,15522696
