日期,人均点击对照组,人均点击实验组,日期,播放完成率对照组,播放完成率实验组,日期,vv对照组,vv实验组
2018-04-13,7.644939778734536,7.653712548849327,2018-04-13,0.2652464953081466,0.2632691156933661,2018-04-13,1047667,1062844
2018-04-14,7.915249497953685,8.03206744606607,2018-04-14,0.28117921236890864,0.27854882033037887,2018-04-14,1163692,1177194
2018-04-15,7.816062378167642,7.684958608840527,2018-04-15,0.28635329008793503,0.28603216434502793,2018-04-15,1147097,1126216
2018-04-16,7.366827233742583,7.362376061271745,2018-04-16,0.27304891389279573,0.273810192378492,2018-04-16,959850,961542
2018-04-17,7.164275743265319,7.19136010799865,2018-04-17,0.26621167647907157,0.26631111841031896,2018-04-17,943024,925519
2018-04-18,7.346713121598664,7.233727272727273,2018-04-18,0.2683447704925351,0.2684884989226975,2018-04-18,985676,930565
2018-04-19,7.288851205702296,7.487312572087658,2018-04-19,0.2729821929491066,0.27471546228218535,2018-04-19,973210,961999
2018-04-20,7.36914132133944,7.584730645736711,2018-04-20,0.2710486672177605,0.27736956948499975,2018-04-20,994386,972951
2018-04-21,7.749064755146864,8.005141186909546,2018-04-21,0.2787560630762882,0.28456442513410707,2018-04-21,1182568,1153556
2018-04-22,8.17631649161957,8.30951091860675,2018-04-22,0.2819529664711637,0.29087754842372104,2018-04-22,1240902,1226052
