日期,曝光次数对照组,曝光次数实验组,日期,播放人数对照组,播放人数实验组,日期,点击人数对照组,点击人数实验组
2018-04-13,3599035,3645740,2018-04-13,40195,40770,2018-04-13,36698,36848
2018-04-14,3901123,3937421,2018-04-14,43873,43851,2018-04-14,39339,39261
2018-04-15,3759096,3729453,2018-04-15,42862,42423,2018-04-15,38475,38414
2018-04-16,3205180,3209265,2018-04-16,36614,36385,2018-04-16,34046,33686
2018-04-17,3192151,3191920,2018-04-17,36583,35904,2018-04-17,33669,32593
2018-04-18,3296721,3229597,2018-04-18,37322,36149,2018-04-18,34729,33000
2018-04-19,3300825,3283119,2018-04-19,38058,36498,2018-04-19,34793,32946
2018-04-20,3464942,3414853,2018-04-20,39652,37897,2018-04-20,36463,33636
2018-04-21,4008417,3942923,2018-04-21,45303,42929,2018-04-21,41433,38318
2018-04-22,4086350,4026329,2018-04-22,45529,43584,2018-04-22,41227,38787
