aid,uid,label
699,78508957,-1
1991,3637295,-1
1119,19229018,-1
2013,79277120,-1
692,41528441,-1
1119,62381478,-1
117,36832847,-1
389,22023604,-1
432,39527165,-1
1468,47080817,-1
1468,56085174,-1
404,22117015,-1
369,20159477,-1
411,49029134,-1
1940,31132182,-1
846,4039629,-1
543,20601591,-1
1415,22744430,-1
136,9828105,-1
1918,10336143,-1
561,75233751,-1
1468,72903924,-1
692,81670516,-1
1215,9947318,-1
846,35278604,-1
174,64116325,-1
1749,33838753,-1
1507,1320930,-1
1254,28769142,-1
1119,48708770,1
846,18634306,-1
1119,40672131,-1
916,39650505,-1
1415,60864809,-1
1335,44072024,1
1781,44285573,-1
2216,61237244,-1
117,47475273,-1
1119,64954925,1
436,68093353,-1
411,5256406,-1
1379,69938159,-1
432,64938005,-1
1605,34025684,-1
1566,54876557,-1
432,38454452,-1
1918,60491542,-1
1415,51156977,1
1728,64335974,-1
1904,40936344,-1
1407,58000262,-1
302,81352665,-1
1291,38358319,-1
692,52145834,-1
903,2217066,-1
1254,52265874,-1
1496,22862228,-1
916,21818509,-1
1605,2258262,-1
70,31511040,-1
302,9685368,-1
2031,56023654,-1
916,24552689,-1
1119,72702682,-1
1950,6190305,-1
765,77351073,-1
2044,7984138,-1
1566,66815603,-1
1379,70317685,-1
699,32650128,-1
369,16417505,-1
191,34971131,-1
1415,57819574,-1
916,28622289,-1
1566,7994109,-1
966,53608383,-1
561,35347584,-1
1201,53886088,-1
692,73996764,-1
369,32300456,1
136,40196103,-1
404,3690099,-1
369,24131128,-1
1468,47910804,-1
1379,13140929,-1
894,3596334,1
7,66429852,-1
1379,60696969,-1
1468,35825134,-1
1819,77714697,-1
846,38348970,-1
1918,82156772,-1
561,50511083,-1
173,10178454,-1
1379,61856062,-1
191,55861836,-1
2048,19662838,-1
1291,34552591,-1
1107,42695592,-1
1350,41497358,-1
2031,27195866,-1
688,16162119,-1
1201,68010161,-1
191,29352320,-1
191,68506212,-1
914,14271524,-1
1284,53470326,-1
1107,75761304,-1
191,50045382,-1
1468,58950186,-1
70,73222626,-1
1566,52203658,-1
286,30810158,-1
529,35466183,-1
1605,38026129,-1
561,52873995,-1
173,53468309,-1
1566,14974603,-1
1950,54704299,-1
411,764565,-1
432,2255587,-1
1468,78517296,-1
1119,49549070,-1
1918,54468510,-1
1254,61321991,-1
1950,18919872,-1
692,60585954,-1
1468,63545149,1
1254,50134234,-1
1291,80262002,-1
1044,60089880,-1
2031,69561396,-1
1940,11004128,-1
1918,42721219,-1
173,46965109,-1
1379,18308214,-1
966,5481239,-1
1622,63304831,-1
1596,61563581,-1
136,25031802,-1
1254,48513746,-1
792,9988157,-1
561,81260936,-1
389,279902,-1
1714,54613804,-1
191,54129227,-1
336,52250353,-1
2031,10068646,1
1119,36527173,-1
231,57978528,-1
1918,30692162,-1
1596,6586514,-1
1918,54663149,-1
846,52592275,-1
420,21547984,1
302,66762714,-1
1566,49247015,-1
369,75796170,-1
1468,14354520,-1
916,4976076,-1
1468,35084182,-1
939,75365386,-1
136,9476214,-1
1338,19193584,-1
302,38465760,-1
2047,32701898,-1
1746,44752953,-1
411,42078922,-1
311,1620969,-1
1291,52411168,-1
914,16053777,-1
1468,6938995,-1
70,38063767,-1
692,75503662,-1
1781,24488149,-1
916,67312009,-1
1716,16054191,-1
692,27042690,-1
1379,27974696,1
411,17828902,-1
1622,20967479,-1
692,4357412,-1
1254,20623764,-1
1284,78202974,-1
960,42208088,-1
1350,71886464,-1
1044,47074301,-1
432,24477523,-1
1407,8852328,-1
1503,77951745,-1
1379,15095533,-1
1904,30866123,-1
302,20336345,-1
846,35156445,-1
1017,58534311,-1
1566,19634292,-1
1605,35534038,-1
692,74616878,-1
70,24696694,-1
1918,14193492,-1
1044,72779900,-1
1291,64953808,-1
2066,20008733,-1
692,8051803,-1
1027,66620114,-1
692,36157305,-1
725,43228422,-1
302,19856371,-1
191,67249695,-1
1468,3202763,1
12,31703979,-1
1605,7502512,-1
1415,46502704,-1
411,71812125,-1
1918,16419335,-1
1918,16028961,-1
70,44400969,-1
302,33774716,-1
1746,44836980,-1
1605,41899198,-1
1468,70704609,-1
838,49014980,-1
519,71870985,-1
1566,81025267,-1
1291,59572881,-1
529,13656913,-1
1566,14893891,-1
688,74364950,-1
302,63249851,-1
411,60607085,-1
432,63680930,-1
916,57468754,-1
1468,71390921,-1
1407,64497279,-1
1119,20770599,-1
516,7617184,-1
1415,42904366,-1
173,46409915,-1
1017,2109521,-1
206,37592270,1
692,14425956,-1
1119,48364607,-1
191,44412100,-1
1508,40897495,-1
145,71181768,-1
2047,57324214,-1
212,46036663,-1
117,1005170,-1
1950,75094661,-1
1566,4116314,-1
914,56284565,-1
765,29617291,-1
1291,58715981,-1
1596,35559016,-1
411,42673582,-1
136,29783565,-1
1950,25037342,-1
561,73026607,-1
966,43369885,-1
1605,63681535,-1
2013,57028334,-1
191,69754610,1
2013,5020766,-1
432,60585809,-1
1827,45689112,-1
1714,22589510,-1
1605,48567891,-1
1182,77602181,-1
173,29135299,-1
1749,64377828,-1
692,65798770,-1
206,44697834,-1
404,36408780,-1
1566,49401210,-1
1182,69936412,-1
846,72331531,-1
1119,58688506,-1
12,58910186,-1
117,24334564,-1
1596,80593878,-1
1254,54979291,-1
1284,70021501,-1
2050,16445120,1
173,38974453,-1
1566,27461477,-1
916,28791439,-1
1512,40482079,-1
1566,77345071,-1
2031,68314919,-1
1940,12905640,-1
1925,33279185,-1
411,9105879,-1
1379,8840092,-1
1407,26490479,-1
660,29027348,-1
369,72764570,-1
177,69569679,-1
1635,37250967,-1
1119,54930428,-1
18,65246753,1
1468,11461211,-1
727,82195898,-1
1379,75728936,-1
1918,7778513,-1
692,79748308,-1
411,35006754,-1
1017,45527953,-1
1468,81434694,-1
206,72037454,-1
1017,36592534,-1
206,58567959,-1
432,55000379,-1
191,9608281,-1
1904,27631984,-1
1021,16988454,-1
1503,8710996,-1
2197,32560316,-1
1605,51089855,-1
1291,20350606,-1
136,49264619,-1
145,74237808,-1
1468,50499262,-1
692,53041537,-1
914,70138412,-1
450,54789037,-1
1940,7796419,-1
136,68658636,1
1918,10255526,-1
692,5810267,-1
748,13532572,-1
411,80870805,-1
1415,26738169,-1
117,718750,-1
286,33093061,-1
1622,65436621,-1
966,78582370,-1
311,55747297,-1
411,15988288,-1
1918,30710235,-1
846,67763800,-1
692,67060613,-1
1918,46605460,-1
1918,12066452,-1
543,13613002,-1
1827,13442533,-1
1021,67118144,-1
916,37649605,-1
1415,24030770,-1
173,57873383,-1
389,10374315,-1
311,15661643,1
561,22619921,-1
1998,50260985,-1
311,20316647,-1
692,4833809,-1
404,28074089,-1
727,36088021,-1
1119,11124843,-1
2169,67702158,-1
853,67783453,-1
389,63518675,-1
2050,77908615,-1
1827,14245007,-1
561,39662168,-1
1415,56671983,1
846,33388206,-1
1254,12497969,-1
1119,57808087,-1
1119,17725931,-1
7,29804974,-1
671,33324417,-1
411,32339270,-1
173,18494339,-1
471,38609351,-1
177,66984139,-1
432,34796395,-1
1749,67289917,-1
1671,58297443,-1
1291,21787705,-1
86,6941616,-1
692,7763948,-1
1605,55096607,-1
311,58346652,-1
432,57971699,-1
1119,43750469,-1
1119,6538644,-1
1827,6785438,-1
1635,79650287,-1
1119,34185427,-1
1781,2864670,-1
699,19061996,-1
411,79941147,-1
1530,51970574,-1
1415,19514184,-1
1918,77354056,-1
1605,78406733,-1
1335,7852705,-1
1291,43211600,-1
1728,40591363,-1
916,79397285,-1
272,12230680,-1
1254,13448628,-1
2118,32679984,-1
1201,6340334,-1
914,54022236,-1
411,15537777,-1
1407,22252465,-1
846,1343973,1
1468,70081349,-1
1468,15578796,-1
1377,42568282,-1
1970,18653017,-1
311,51668650,-1
561,62786008,-1
1496,67090704,-1
231,25187870,-1
529,55545733,-1
2201,48762683,-1
966,62674150,-1
846,14517410,-1
191,11339551,-1
136,22050587,-1
121,25163602,-1
1350,42670153,-1
1991,21229130,-1
1407,82367350,-1
1468,36712844,-1
725,77152074,-1
916,66576535,-1
699,51590482,-1
1119,24709232,-1
404,18315736,-1
1918,4539732,-1
1017,78479066,-1
1950,57883980,-1
1415,20943815,-1
2031,18068807,-1
411,69508685,-1
1728,79567775,-1
1017,63739858,-1
1291,38274830,-1
1827,14502938,1
231,35852930,-1
2196,80564813,-1
1468,55774590,-1
311,65870919,-1
70,64348129,-1
1728,26088780,-1
1338,12834030,-1
1415,52858905,-1
411,34155966,-1
692,17295260,-1
2054,59429585,-1
1415,26748120,-1
692,11059597,-1
411,56980332,-1
792,5295227,-1
2031,11719432,-1
1962,49016968,-1
1017,80980530,-1
12,59346409,-1
1201,67907542,-1
